Sequence 1,Sequence 2,Similarity
lcl|KJ906114.1_cds_AIC63364.1_1_protein,lcl|KR710254.1_cds_AKI70636.1_1_protein,0.2524271844660194
lcl|KJ906114.1_cds_AIC63364.1_1_protein,lcl|KJ136647.1_cds_AHN82349.1_1_protein,0.4029126213592233
lcl|KJ906114.1_cds_AIC63364.1_1_protein,lcl|KJ892966.1_cds_AIC50551.1_1_protein,0.4077669902912621
lcl|KJ906114.1_cds_AIC63364.1_1_protein,lcl|NM_004789.4_cds_NP_004780.3_1_protein,0.29975728155339804
lcl|KJ906114.1_cds_AIC63364.1_1_protein,lcl|KJ894453.1_cds_AIC52035.1_1_protein,0.25606796116504854
lcl|KR710254.1_cds_AKI70636.1_1_protein,lcl|KJ136647.1_cds_AHN82349.1_1_protein,0.3094660194174757
lcl|KR710254.1_cds_AKI70636.1_1_protein,lcl|KJ892966.1_cds_AIC50551.1_1_protein,0.2512135922330097
lcl|KR710254.1_cds_AKI70636.1_1_protein,lcl|NM_004789.4_cds_NP_004780.3_1_protein,0.16747572815533981
lcl|KR710254.1_cds_AKI70636.1_1_protein,lcl|KJ894453.1_cds_AIC52035.1_1_protein,0.20388349514563106
lcl|KJ136647.1_cds_AHN82349.1_1_protein,lcl|KJ892966.1_cds_AIC50551.1_1_protein,0.4563106796116505
lcl|KJ136647.1_cds_AHN82349.1_1_protein,lcl|NM_004789.4_cds_NP_004780.3_1_protein,0.36771844660194175
lcl|KJ136647.1_cds_AHN82349.1_1_protein,lcl|KJ894453.1_cds_AIC52035.1_1_protein,0.308252427184466
lcl|KJ892966.1_cds_AIC50551.1_1_protein,lcl|NM_004789.4_cds_NP_004780.3_1_protein,0.1796116504854369
lcl|KJ892966.1_cds_AIC50551.1_1_protein,lcl|KJ894453.1_cds_AIC52035.1_1_protein,0.19902912621359223
lcl|NM_004789.4_cds_NP_004780.3_1_protein,lcl|KJ894453.1_cds_AIC52035.1_1_protein,0.24757281553398058
